[train: 2, 800 / 937] FPS: 100.7 (479.3)  ,  DataTime: 0.255 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 2.93313  ,  Loss/giou: 0.60907  ,  Loss/l1: 0.08060  ,  Loss/location: 1.28962  ,  pro_loss: 0.11178  ,  IoU: 0.48520
[train: 2, 850 / 937] FPS: 100.4 (27.9)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 2.89580  ,  Loss/giou: 0.60337  ,  Loss/l1: 0.07949  ,  Loss/location: 1.26923  ,  pro_loss: 0.11185  ,  IoU: 0.48971
[train: 2, 900 / 937] FPS: 100.7 (134.3)  ,  DataTime: 0.255 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 2.86523  ,  Loss/giou: 0.59842  ,  Loss/l1: 0.07850  ,  Loss/location: 1.25359  ,  pro_loss: 0.11144  ,  IoU: 0.49355
[train: 2, 937 / 937] FPS: 101.0 (499.7)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.317  ,  Loss/total: 2.84055  ,  Loss/giou: 0.59443  ,  Loss/l1: 0.07771  ,  Loss/location: 1.24088  ,  pro_loss: 0.11147  ,  IoU: 0.49666
[train: 3, 50 / 937] FPS: 94.2 (496.8)  ,  DataTime: 0.277 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.340  ,  Loss/total: 2.31251  ,  Loss/giou: 0.51040  ,  Loss/l1: 0.06222  ,  Loss/location: 0.95937  ,  pro_loss: 0.10606  ,  IoU: 0.56457
[train: 3, 100 / 937] FPS: 100.4 (444.4)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 2.27945  ,  Loss/giou: 0.50766  ,  Loss/l1: 0.06132  ,  Loss/location: 0.93668  ,  pro_loss: 0.10429  ,  IoU: 0.56721
[train: 3, 150 / 937] FPS: 101.0 (485.7)  ,  DataTime: 0.255 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.317  ,  Loss/total: 2.26738  ,  Loss/giou: 0.50600  ,  Loss/l1: 0.06078  ,  Loss/location: 0.92964  ,  pro_loss: 0.10920  ,  IoU: 0.56809
[train: 3, 200 / 937] FPS: 101.2 (71.6)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.316  ,  Loss/total: 2.21692  ,  Loss/giou: 0.49559  ,  Loss/l1: 0.05877  ,  Loss/location: 0.91030  ,  pro_loss: 0.10785  ,  IoU: 0.57531
[train: 3, 250 / 937] FPS: 100.5 (31.9)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 2.20168  ,  Loss/giou: 0.49285  ,  Loss/l1: 0.05822  ,  Loss/location: 0.90319  ,  pro_loss: 0.10836  ,  IoU: 0.57702
[train: 3, 300 / 937] FPS: 101.3 (484.9)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.316  ,  Loss/total: 2.18418  ,  Loss/giou: 0.48999  ,  Loss/l1: 0.05785  ,  Loss/location: 0.89308  ,  pro_loss: 0.10939  ,  IoU: 0.57934
[train: 3, 350 / 937] FPS: 100.5 (36.7)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 2.15728  ,  Loss/giou: 0.48547  ,  Loss/l1: 0.05702  ,  Loss/location: 0.87919  ,  pro_loss: 0.11021  ,  IoU: 0.58285
[train: 3, 400 / 937] FPS: 100.2 (486.6)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 2.13521  ,  Loss/giou: 0.48038  ,  Loss/l1: 0.05604  ,  Loss/location: 0.87240  ,  pro_loss: 0.10935  ,  IoU: 0.58647
[train: 3, 450 / 937] FPS: 99.9 (27.1)  ,  DataTime: 0.258 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.320  ,  Loss/total: 2.11731  ,  Loss/giou: 0.47625  ,  Loss/l1: 0.05524  ,  Loss/location: 0.86677  ,  pro_loss: 0.10926  ,  IoU: 0.58946
[train: 3, 500 / 937] FPS: 100.4 (488.3)  ,  DataTime: 0.256 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 2.10807  ,  Loss/giou: 0.47384  ,  Loss/l1: 0.05481  ,  Loss/location: 0.86466  ,  pro_loss: 0.10853  ,  IoU: 0.59133
[train: 3, 550 / 937] FPS: 100.3 (34.6)  ,  DataTime: 0.257 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.319  ,  Loss/total: 2.09308  ,  Loss/giou: 0.47065  ,  Loss/l1: 0.05429  ,  Loss/location: 0.85862  ,  pro_loss: 0.10851  ,  IoU: 0.59379
[train: 3, 600 / 937] FPS: 100.7 (484.7)  ,  DataTime: 0.255 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 2.07824  ,  Loss/giou: 0.46797  ,  Loss/l1: 0.05384  ,  Loss/location: 0.85135  ,  pro_loss: 0.10876  ,  IoU: 0.59580
[train: 3, 650 / 937] FPS: 100.8 (34.5)  ,  DataTime: 0.255 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.318  ,  Loss/total: 2.06735  ,  Loss/giou: 0.46619  ,  Loss/l1: 0.05356  ,  Loss/location: 0.84548  ,  pro_loss: 0.10848  ,  IoU: 0.59729
[train: 3, 700 / 937] FPS: 101.0 (493.5)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.317  ,  Loss/total: 2.06032  ,  Loss/giou: 0.46529  ,  Loss/l1: 0.05340  ,  Loss/location: 0.84106  ,  pro_loss: 0.10851  ,  IoU: 0.59811
[train: 3, 750 / 937] FPS: 101.1 (467.9)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.057  ,  TotalTime: 0.316  ,  Loss/total: 2.04763  ,  Loss/giou: 0.46303  ,  Loss/l1: 0.05298  ,  Loss/location: 0.83500  ,  pro_loss: 0.10839  ,  IoU: 0.59989
