[train: Epoch 3, 400 / 625] FPS: 118.1 (117.2)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.48386  ,  Loss/giou: 0.76609  ,  Loss/l1: 0.11146  ,  Loss/location: 1.37950  ,  pro_loss: 0.07429  ,  IoU: 0.35864
[train: Epoch 3, 450 / 625] FPS: 118.2 (119.1)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.46752  ,  Loss/giou: 0.76396  ,  Loss/l1: 0.11096  ,  Loss/location: 1.37006  ,  pro_loss: 0.07373  ,  IoU: 0.36023
[train: Epoch 3, 500 / 625] FPS: 118.2 (119.1)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.44859  ,  Loss/giou: 0.76044  ,  Loss/l1: 0.11025  ,  Loss/location: 1.36160  ,  pro_loss: 0.07423  ,  IoU: 0.36269
[train: Epoch 3, 550 / 625] FPS: 118.3 (119.5)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.43824  ,  Loss/giou: 0.75947  ,  Loss/l1: 0.11006  ,  Loss/location: 1.35422  ,  pro_loss: 0.07383  ,  IoU: 0.36358
[train: Epoch 3, 600 / 625] FPS: 118.3 (117.9)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 3.42514  ,  Loss/giou: 0.75729  ,  Loss/l1: 0.10984  ,  Loss/location: 1.34666  ,  pro_loss: 0.07353  ,  IoU: 0.36532
[train: Epoch 3, 625 / 625] FPS: 118.4 (119.8)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.270  ,  Loss/total: 3.42236  ,  Loss/giou: 0.75770  ,  Loss/l1: 0.10984  ,  Loss/location: 1.34305  ,  pro_loss: 0.07348  ,  IoU: 0.36499
[train: Epoch 4, 50 / 625] FPS: 113.1 (119.5)  ,  DataTime: 0.018 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.283  ,  Loss/total: 3.19670  ,  Loss/giou: 0.71718  ,  Loss/l1: 0.10347  ,  Loss/location: 1.23141  ,  pro_loss: 0.06799  ,  IoU: 0.39328
[train: Epoch 4, 100 / 625] FPS: 115.9 (118.8)  ,  DataTime: 0.011 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.276  ,  Loss/total: 3.20642  ,  Loss/giou: 0.72235  ,  Loss/l1: 0.10392  ,  Loss/location: 1.22824  ,  pro_loss: 0.06945  ,  IoU: 0.39028
[train: Epoch 4, 150 / 625] FPS: 116.9 (118.6)  ,  DataTime: 0.009 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.274  ,  Loss/total: 3.20297  ,  Loss/giou: 0.72160  ,  Loss/l1: 0.10371  ,  Loss/location: 1.22690  ,  pro_loss: 0.07163  ,  IoU: 0.39149
[train: Epoch 4, 200 / 625] FPS: 117.4 (118.5)  ,  DataTime: 0.008 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.273  ,  Loss/total: 3.20096  ,  Loss/giou: 0.72215  ,  Loss/l1: 0.10313  ,  Loss/location: 1.22641  ,  pro_loss: 0.07293  ,  IoU: 0.39073
[train: Epoch 4, 250 / 625] FPS: 117.6 (118.7)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.272  ,  Loss/total: 3.18045  ,  Loss/giou: 0.71854  ,  Loss/l1: 0.10212  ,  Loss/location: 1.21839  ,  pro_loss: 0.07202  ,  IoU: 0.39276
[train: Epoch 4, 300 / 625] FPS: 117.8 (118.6)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.272  ,  Loss/total: 3.18526  ,  Loss/giou: 0.72004  ,  Loss/l1: 0.10239  ,  Loss/location: 1.21898  ,  pro_loss: 0.07120  ,  IoU: 0.39149
[train: Epoch 4, 350 / 625] FPS: 117.9 (119.2)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.18007  ,  Loss/giou: 0.71943  ,  Loss/l1: 0.10220  ,  Loss/location: 1.21586  ,  pro_loss: 0.07178  ,  IoU: 0.39143
[train: Epoch 4, 400 / 625] FPS: 118.0 (118.1)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.16682  ,  Loss/giou: 0.71719  ,  Loss/l1: 0.10185  ,  Loss/location: 1.20879  ,  pro_loss: 0.07207  ,  IoU: 0.39345
[train: Epoch 4, 450 / 625] FPS: 118.1 (118.6)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.17124  ,  Loss/giou: 0.71838  ,  Loss/l1: 0.10233  ,  Loss/location: 1.20834  ,  pro_loss: 0.07247  ,  IoU: 0.39307
[train: Epoch 4, 500 / 625] FPS: 118.1 (118.2)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.16930  ,  Loss/giou: 0.71881  ,  Loss/l1: 0.10248  ,  Loss/location: 1.20465  ,  pro_loss: 0.07320  ,  IoU: 0.39275
[train: Epoch 4, 550 / 625] FPS: 118.2 (119.7)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.259  ,  TotalTime: 0.271  ,  Loss/total: 3.16576  ,  Loss/giou: 0.71809  ,  Loss/l1: 0.10276  ,  Loss/location: 1.20113  ,  pro_loss: 0.07324  ,  IoU: 0.39334
